,Dataset,Task,Region,Predicted vs. Observed Evoked Responses
0,MDTB,ActionObservation,7Networks_LH_Cont_Cing_1,0.032688502082113165
1,MDTB,ActionObservation,7Networks_LH_Cont_PFCl_1,0.2458474247645917
2,MDTB,ActionObservation,7Networks_LH_Cont_Par_1,0.1816505436093232
3,MDTB,ActionObservation,7Networks_LH_Cont_pCun_1,0.16867933102158952
4,MDTB,ActionObservation,7Networks_LH_Default_PFC_1,0.18720036820741803
5,MDTB,ActionObservation,7Networks_LH_Default_PFC_2,0.20225408907262105
6,MDTB,ActionObservation,7Networks_LH_Default_PFC_3,0.039547875755183585
7,MDTB,ActionObservation,7Networks_LH_Default_PFC_4,0.15241906023046545
8,MDTB,ActionObservation,7Networks_LH_Default_PFC_5,0.03478892778425028
9,MDTB,ActionObservation,7Networks_LH_Default_PFC_6,0.07106307970613848
10,MDTB,ActionObservation,7Networks_LH_Default_PFC_7,0.11427116124779968
11,MDTB,ActionObservation,7Networks_LH_Default_Par_1,0.19784408909316115
12,MDTB,ActionObservation,7Networks_LH_Default_Par_2,0.27263217593742844
13,MDTB,ActionObservation,7Networks_LH_Default_Temp_1,0.15383855260026888
14,MDTB,ActionObservation,7Networks_LH_Default_Temp_2,0.132893065357511
15,MDTB,ActionObservation,7Networks_LH_Default_pCunPCC_1,0.1646720410097314
16,MDTB,ActionObservation,7Networks_LH_Default_pCunPCC_2,0.08317600356546967
17,MDTB,ActionObservation,7Networks_LH_DorsAttn_FEF_1,0.2045050710902423
18,MDTB,ActionObservation,7Networks_LH_DorsAttn_Post_1,0.4548473953992732
19,MDTB,ActionObservation,7Networks_LH_DorsAttn_Post_2,0.24915400195983897
20,MDTB,ActionObservation,7Networks_LH_DorsAttn_Post_3,0.3390981973273619
21,MDTB,ActionObservation,7Networks_LH_DorsAttn_Post_4,0.2151834580871335
22,MDTB,ActionObservation,7Networks_LH_DorsAttn_Post_5,0.25705606270425085
23,MDTB,ActionObservation,7Networks_LH_DorsAttn_Post_6,0.27135573959690845
24,MDTB,ActionObservation,7Networks_LH_DorsAttn_PrCv_1,0.22620796010301114
25,MDTB,ActionObservation,7Networks_LH_Limbic_OFC_1,0.044893237469664976
26,MDTB,ActionObservation,7Networks_LH_Limbic_TempPole_1,0.058811840847864026
27,MDTB,ActionObservation,7Networks_LH_Limbic_TempPole_2,0.09093162750333272
28,MDTB,ActionObservation,7Networks_LH_SalVentAttn_FrOperIns_1,0.27322909252539196
29,MDTB,ActionObservation,7Networks_LH_SalVentAttn_FrOperIns_2,0.33047057139801816
30,MDTB,ActionObservation,7Networks_LH_SalVentAttn_Med_1,0.20374236089482883
31,MDTB,ActionObservation,7Networks_LH_SalVentAttn_Med_2,0.3650013289539548
32,MDTB,ActionObservation,7Networks_LH_SalVentAttn_Med_3,0.16223635945618706
33,MDTB,ActionObservation,7Networks_LH_SalVentAttn_PFCl_1,0.18744873223686218
34,MDTB,ActionObservation,7Networks_LH_SalVentAttn_ParOper_1,0.3425146945006707
35,MDTB,ActionObservation,7Networks_LH_SomMot_1,0.2893344989402341
36,MDTB,ActionObservation,7Networks_LH_SomMot_2,0.29940460241474554
37,MDTB,ActionObservation,7Networks_LH_SomMot_3,0.24183531864880894
38,MDTB,ActionObservation,7Networks_LH_SomMot_4,0.21595904288753387
39,MDTB,ActionObservation,7Networks_LH_SomMot_5,0.20506101132084992
40,MDTB,ActionObservation,7Networks_LH_SomMot_6,0.250703852746396
41,MDTB,ActionObservation,7Networks_LH_Vis_1,0.1528423059290525
42,MDTB,ActionObservation,7Networks_LH_Vis_2,0.4951101841381787
43,MDTB,ActionObservation,7Networks_LH_Vis_3,0.39633650607493387
44,MDTB,ActionObservation,7Networks_LH_Vis_4,0.5048008020377752
45,MDTB,ActionObservation,7Networks_LH_Vis_5,0.48707093468040563
46,MDTB,ActionObservation,7Networks_LH_Vis_6,0.28364294765150777
47,MDTB,ActionObservation,7Networks_LH_Vis_7,0.37537503884515694
48,MDTB,ActionObservation,7Networks_LH_Vis_8,0.45761624136231493
49,MDTB,ActionObservation,7Networks_LH_Vis_9,0.39323680150070717
50,MDTB,ActionObservation,7Networks_RH_Cont_Cing_1,0.1062214707765596
51,MDTB,ActionObservation,7Networks_RH_Cont_PFCl_1,0.12700161309083186
52,MDTB,ActionObservation,7Networks_RH_Cont_PFCl_2,0.22726086677873517
53,MDTB,ActionObservation,7Networks_RH_Cont_PFCl_3,0.1879576784344477
54,MDTB,ActionObservation,7Networks_RH_Cont_PFCl_4,0.09189133437484938
55,MDTB,ActionObservation,7Networks_RH_Cont_PFCmp_1,0.1846312157945899
56,MDTB,ActionObservation,7Networks_RH_Cont_Par_1,0.2422277047216262
57,MDTB,ActionObservation,7Networks_RH_Cont_Par_2,0.1440742350050372
58,MDTB,ActionObservation,7Networks_RH_Cont_pCun_1,0.1639100048308976
59,MDTB,ActionObservation,7Networks_RH_Default_PFCdPFCm_1,0.0825707607163991
60,MDTB,ActionObservation,7Networks_RH_Default_PFCdPFCm_2,0.022797754985542394
61,MDTB,ActionObservation,7Networks_RH_Default_PFCdPFCm_3,0.09654892455621843
62,MDTB,ActionObservation,7Networks_RH_Default_PFCv_1,0.15902961413470165
63,MDTB,ActionObservation,7Networks_RH_Default_PFCv_2,0.20179154820250758
64,MDTB,ActionObservation,7Networks_RH_Default_Par_1,0.16818351061413836
65,MDTB,ActionObservation,7Networks_RH_Default_Temp_1,0.09647237686351827
66,MDTB,ActionObservation,7Networks_RH_Default_Temp_2,0.19003957534038843
67,MDTB,ActionObservation,7Networks_RH_Default_Temp_3,0.2195467676937796
68,MDTB,ActionObservation,7Networks_RH_Default_pCunPCC_1,0.13012601662357973
69,MDTB,ActionObservation,7Networks_RH_Default_pCunPCC_2,0.08339910637284569
70,MDTB,ActionObservation,7Networks_RH_DorsAttn_FEF_1,0.15983201139410053
71,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_1,0.24689333683640177
72,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_2,0.18435109864949992
73,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_3,0.1997082192586119
74,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_4,0.34466531880378437
75,MDTB,ActionObservation,7Networks_RH_DorsAttn_Post_5,0.31176358881302796
76,MDTB,ActionObservation,7Networks_RH_DorsAttn_PrCv_1,0.29513868489645173
77,MDTB,ActionObservation,7Networks_RH_Limbic_OFC_1,0.05927952472983701
78,MDTB,ActionObservation,7Networks_RH_Limbic_TempPole_1,0.057658711999013346
